PRDM9Expression	numPRDM9MotifInPeaks
COAD_TCGA-DM-A28G-01A	6.93632514905708	119272
COAD_TCGA-NH-A50U-01A	0	118615
COAD_TCGA-NH-A5IV-01A	0	115732
COAD_TCGA-NH-A6GA-01A	6.52969534782725	120545
COAD_TCGA-NH-A6GC-01A	0	117215
COAD_TCGA-NH-A8F7-01A	0	117715
COAD_TCGA-NH-A8F8-01A	0	120521
COAD_TCGA-QG-A5YV-01A	0	120232
COAD_TCGA-QG-A5YX-01A	0	118854
COAD_TCGA-QL-A97D-01A	0	116500
COAD_TCGA-SS-A7HO-01A	6.8936528409232	120088
ESCA_TCGA-IC-A6RE-01A	0	109700
ESCA_TCGA-IG-A3YA-01A	6.82907578693327	112763
ESCA_TCGA-IG-A4P3-01A	10.8124647792894	99652
ESCA_TCGA-IG-A4QS-01A	0	111754
ESCA_TCGA-IG-A51D-01A	0	119567
ESCA_TCGA-IG-A625-01A	0	114656
ESCA_TCGA-IG-A7DP-01A	0	104718
ESCA_TCGA-L5-A4OE-01A	0	108363
ESCA_TCGA-L7-A6VZ-01A	6.01596700222635	111767
ESCA_TCGA-LN-A49O-01A	0	105444
ESCA_TCGA-LN-A49W-01A	9.94075665370368	117134
ESCA_TCGA-LN-A4A5-01A	0	115216
ESCA_TCGA-LN-A7HX-01A	0	120103
ESCA_TCGA-LN-A8HZ-01A	7.16422437948633	102199
ESCA_TCGA-LN-A9FQ-01A	0	117466
ESCA_TCGA-M9-A5M8-01A	0	113038
HNSC_TCGA-BA-A4IH-01A	0	104499
HNSC_TCGA-BA-A8YP-01A	0	101299
HNSC_TCGA-CN-A49B-01A	0	86703
HNSC_TCGA-CV-A468-01A	8.19544408402843	98921
HNSC_TCGA-D6-A6EP-01A	0	100375
HNSC_TCGA-F7-A624-01A	0	92286
HNSC_TCGA-H7-A76A-01A	7.48794423825329	99223
HNSC_TCGA-KU-A66S-01A	6.84874961687403	102517
HNSC_TCGA-KU-A6H7-06A	0	93715
KIRC_TCGA-3Z-A93Z-01A	7.4333383958089	106682
KIRC_TCGA-6D-AA2E-01A	10.3809913071055	111454
KIRC_TCGA-B2-A4SR-01A	0	110610
KIRC_TCGA-B8-A54E-01A	0	106314
KIRC_TCGA-B8-A54F-01A	7.84978925752456	110126
KIRC_TCGA-B8-A54G-01A	0	105542
KIRC_TCGA-B8-A54H-01A	0	105830
KIRC_TCGA-B8-A54J-01A	0	108919
KIRC_TCGA-B8-A54K-01A	0	108522
KIRC_TCGA-B8-A8YJ-01A	0	109151
KIRC_TCGA-CJ-5671-01A	6.85381003826953	112477
KIRC_TCGA-CJ-5677-01A	7.1888791014458	113918
KIRC_TCGA-CJ-5679-01A	7.25707315525663	107455
KIRC_TCGA-DV-A4VX-01A	9.7260259196641	105843
KIRC_TCGA-GK-A6C7-01A	8.41265791228127	110350
KIRC_TCGA-MM-A564-01A	0	107188
KIRP_TCGA-2K-A9WE-01A	0	123446
KIRP_TCGA-4A-A93X-01A	8.59450419046326	113539
