ID	numPRDM9MotifInPeaks
COAD_TCGA-QL-A97D-01A	116500
COAD_TCGA-SS-A7HO-01A	120088
ESCA_TCGA-IC-A6RE-01A	109700
ESCA_TCGA-IG-A3YA-01A	112763
ESCA_TCGA-IG-A4P3-01A	99652
ESCA_TCGA-IG-A4QS-01A	111754
ESCA_TCGA-IG-A51D-01A	119567
ESCA_TCGA-IG-A625-01A	114656
ESCA_TCGA-IG-A7DP-01A	104718
ESCA_TCGA-L5-A4OE-01A	108363
ESCA_TCGA-L7-A6VZ-01A	111767
ESCA_TCGA-LN-A49O-01A	105444
ESCA_TCGA-LN-A49W-01A	117134
ESCA_TCGA-LN-A4A2-01A	120145
ESCA_TCGA-LN-A4A5-01A	115216
ESCA_TCGA-LN-A4MR-01A	118263
ESCA_TCGA-LN-A7HX-01A	120103
ESCA_TCGA-LN-A8HZ-01A	102199
ESCA_TCGA-LN-A9FQ-01A	117466
ESCA_TCGA-M9-A5M8-01A	113038
GBMx_TCGA-06-A5U0-01A	97598
GBMx_TCGA-06-A6S1-01A	100304
GBMx_TCGA-06-A7TK-01A	102104
GBMx_TCGA-06-A7TL-01A	99159
GBMx_TCGA-4W-AA9S-01A	99471
GBMx_TCGA-76-6656-01A	96542
GBMx_TCGA-81-5910-01A	99096
GBMx_TCGA-OX-A56R-01A	101624
GBMx_TCGA-RR-A6KB-01A	101471
HNSC_TCGA-BA-A4IH-01A	104499
HNSC_TCGA-BA-A8YP-01A	101299
HNSC_TCGA-CN-A49B-01A	86703
HNSC_TCGA-CV-A468-01A	98921
HNSC_TCGA-D6-A6EP-01A	100375
HNSC_TCGA-F7-A624-01A	92286
HNSC_TCGA-H7-A76A-01A	99223
HNSC_TCGA-KU-A66S-01A	102517
HNSC_TCGA-KU-A6H7-06A	93715
KIRC_TCGA-3Z-A93Z-01A	106682
KIRC_TCGA-6D-AA2E-01A	111454
KIRC_TCGA-B2-A4SR-01A	110610
KIRC_TCGA-B8-A54E-01A	106314
